unique_key,address,census_tract,clearance_date,clearance_status,council_district_code,description,district,location_description,primary_type,timestamp,x_coordinate,y_coordinate,year,zipcode
20148001715,"601 E 15TH STAustin, TX 78701s(30.274993, -97.732749)",7,2014-07-01 00:00:00 UTC,Not cleared,1,THEFT FROM BUILDING           ,B,601 E 15TH ST,Theft,2014-06-26 00:00:00 UTC,3117100,10073351,2014,78701
20141691365,"601 E 15TH STAustin, TX 78701s(30.274993, -97.732749)",7,2014-07-01 00:00:00 UTC,Cleared by Arrest,1,THEFT                         ,B,601 E 15TH ST,Theft,2014-06-18 00:00:00 UTC,3117100,10073351,2014,78701
20145015665,"601 E 15TH STAustin, TX 78701s(30.274993, -97.732749)",7,2014-05-28 00:00:00 UTC,Cleared by Arrest,1,THEFT OF BICYCLE              ,B,601 E 15TH ST,Theft,2014-04-08 00:00:00 UTC,3117100,10073351,2014,78701
20141081536,"601 E 15TH STAustin, TX 78701s(30.274993, -97.732749)",7,2014-04-23 00:00:00 UTC,Cleared by Arrest,1,THEFT                         ,B,601 E 15TH ST,Theft,2014-04-18 00:00:00 UTC,3117100,10073351,2014,78701
20145028273,"601 E 15TH STAustin, TX 78701s(30.274993, -97.732749)",7,2014-07-01 00:00:00 UTC,Cleared by Arrest,1,THEFT OF BICYCLE              ,B,601 E 15TH ST,Theft,2014-06-26 00:00:00 UTC,3117100,10073351,2014,78701
20145003693,"601 E 15TH STAustin, TX 78701s(30.274993, -97.732749)",7,2014-01-27 00:00:00 UTC,Cleared by Arrest,1,THEFT                         ,B,601 E 15TH ST,Theft,2014-01-24 00:00:00 UTC,3117100,10073351,2014,78701
20148002064,"601 E 15TH STAustin, TX 78701s(30.274993, -97.732749)",7,2014-08-11 00:00:00 UTC,Cleared by Arrest,1,BURGLARY OF VEHICLE           ,B,601 E 15TH ST,Theft,2014-08-01 00:00:00 UTC,3117100,10073351,2014,78701
20145048216,"601 E 15TH STAustin, TX 78701s(30.274993, -97.732749)",7,2014-11-04 00:00:00 UTC,Cleared by Arrest,1,THEFT                         ,B,601 E 15TH ST,Theft,2014-10-30 00:00:00 UTC,3117100,10073351,2014,78701
20142671109,"601 E 15TH STAustin, TX 78701s(30.274993, -97.732749)",7,2014-11-04 00:00:00 UTC,Cleared by Exception,1,AUTO THEFT                    ,B,601 E 15TH ST,Auto Theft,2014-09-24 00:00:00 UTC,3117100,10073351,2014,78701
2014840203,"601 E 15TH STAustin, TX 78701s(30.274993, -97.732749)",7,2014-04-11 00:00:00 UTC,Cleared by Arrest,1,AGG ASSAULT                   ,B,601 E 15TH ST,Aggravated Assault,2014-03-25 00:00:00 UTC,3117100,10073351,2014,78701
20145016599,"601 E 15TH STAustin, TX 78701s(30.274993, -97.732749)",7,2014-04-18 00:00:00 UTC,Cleared by Arrest,1,THEFT                         ,B,601 E 15TH ST,Theft,2014-04-14 00:00:00 UTC,3117100,10073351,2014,78701
20141570769,"601 E 15TH STAustin, TX 78701s(30.274993, -97.732749)",7,2014-06-09 00:00:00 UTC,Cleared by Arrest,1,AGG ASSAULT FAM/DATE VIOLENCE ,B,601 E 15TH ST,Aggravated Assault,2014-06-06 00:00:00 UTC,3117100,10073351,2014,78701
20148000805,"601 E 15TH STAustin, TX 78701s(30.274993, -97.732749)",7,2014-04-08 00:00:00 UTC,Cleared by Arrest,1,THEFT                         ,B,601 E 15TH ST,Theft,2014-03-31 00:00:00 UTC,3117100,10073351,2014,78701
20145037691,"601 E 15TH STAustin, TX 78701s(30.274993, -97.732749)",7,2014-08-26 00:00:00 UTC,Cleared by Arrest,1,THEFT                         ,B,601 E 15TH ST,Theft,2014-08-25 00:00:00 UTC,3117100,10073351,2014,78701
20145020652,"601 E 15TH STAustin, TX 78701s(30.274993, -97.732749)",7,2014-05-15 00:00:00 UTC,Cleared by Arrest,1,THEFT                         ,B,601 E 15TH ST,Theft,2014-05-08 00:00:00 UTC,3117100,10073351,2014,78701
20145051538,"601 E 15TH STAustin, TX 78701s(30.274993, -97.732749)",7,2014-12-05 00:00:00 UTC,Cleared by Arrest,1,THEFT                         ,B,601 E 15TH ST,Theft,2014-11-21 00:00:00 UTC,3117100,10073351,2014,78701
20145050273,"601 E 15TH STAustin, TX 78701s(30.274993, -97.732749)",7,2014-11-26 00:00:00 UTC,Cleared by Arrest,1,THEFT                         ,B,601 E 15TH ST,Theft,2014-11-13 00:00:00 UTC,3117100,10073351,2014,78701
20145005970,"601 E 15TH STAustin, TX 78701s(30.274993, -97.732749)",7,2014-02-20 00:00:00 UTC,Cleared by Arrest,1,THEFT                         ,B,601 E 15TH ST,Theft,2014-02-07 00:00:00 UTC,3117100,10073351,2014,78701
